chr	start	end	DNA average	DNA rank	Group	P7 CM P300 binding	ID	RNA average	RNA:DNA average
chr2	104467078	104467478	147.6195267	371	BNA_TF_H3K27ac	302	1060	149.7185142	1.014218901
chr2	104467190	104467589	95.75911799	245	BNA_TF_H3K27ac	350	698	149.9150003	1.565542827
chr2	106652185	106652585	511.7721296	591	BNA_TF_H3K27ac	116	1155	342.6351936	0.669507333
chr2	109735454	109735854	1220.688145	1876	BNA_TF_H3K27ac	31	777	135.1296063	0.110699532
chr2	112637173	112637573	375.3706628	75	BNA_TF_H3K27ac	85	820	1162.078769	3.095816708
chr2	119015572	119015972	977.6893806	219	BNA_TF_H3K27ac	177	823	1658.624828	1.696474219
chr2	132079176	132079576	572.9621407	135	BNA_TF_H3K27ac	104	803	1344.929805	2.347327527
chr2	14641073	14641473	151.8619091	108	BNA_TF_H3K27ac	137	1053	391.6264554	2.578832689
chr2	14936480	14936880	481.5043373	1550	BNA_TF_H3K27ac	158	905	112.6819068	0.234020544
chr2	156625283	156625683	741.4713179	1693	BNA_TF_H3K27ac	108	618	138.5278629	0.18682835
chr2	165152928	165153328	614.9429369	317	BNA_TF_H3K27ac	61	1135	758.1767484	1.232922118
chr2	166403341	166403741	39.13231519	147	BNA_TF_H3K27ac	211	1250	88.61295549	2.264444489
chr2	167212549	167212949	1204.532929	49	BNA_TF_H3K27ac	285	1054	4382.881181	3.638656176
chr2	167510464	167510864	872.923223	14	BNA_TF_H3K27ac	91	878	4443.330342	5.090173139
chr2	168519585	168519985	523.6680416	312	BNA_TF_H3K27ac	81	684	654.7569611	1.250328279
chr2	173057646	173058046	1783.643807	320	BNA_TF_H3K27ac	92	847	2176.336998	1.220163459
chr2	178494119	178494519	342.4169055	313	BNA_TF_H3K27ac	136	957	424.5880794	1.239974057
chr2	180393097	180393497	2689.113955	956	BNA_TF_H3K27ac	249	710	1119.396391	0.4162696
chr2	27181954	27182354	176.0803461	284	BNA_TF_H3K27ac	100	736	242.9505405	1.379770916
chr2	34591803	34592203	771.4533598	908	BNA_TF_H3K27ac	135	864	342.167559	0.443536287
chr2	35385468	35385868	133.6755097	900	BNA_TF_H3K27ac	58	998	59.71339544	0.446704079
chr2	35994309	35994709	372.6943878	179	BNA_TF_H3K27ac	119	990	727.8859505	1.953037058
chr2	41382735	41383135	303.1894981	1017	BNA_TF_H3K27ac	67	971	119.9241914	0.395542036
chr2	52623460	52623860	762.0258947	347	BNA_TF_H3K27ac	109	767	824.9989556	1.082639004
chr2	5457905	5458305	2734.050997	344	BNA_TF_H3K27ac	74	693	2978.563202	1.089432203
chr2	57856748	57857148	1486.257021	98	BNA_TF_H3K27ac	64	1130	4051.360236	2.725881311
chr2	7088964	7089364	2271.020779	118	BNA_TF_H3K27ac	174	1066	5687.289127	2.504287579
chr2	75730028	75730428	743.1265459	446	BNA_TF_H3K27ac	20	1010	665.4579285	0.895483996
chr3	101596061	101596461	580.153652	1042	BNA_TF_H3K27ac	131	699	223.4293559	0.385121002
chr3	101596165	101596564	491.3427498	745	BNA_TF_H3K27ac	148	678	262.7384634	0.534735607
chr3	105521233	105521632	588.3661681	228	BNA_TF_H3K27ac	159	71	975.0151108	1.657156994
chr3	105521239	105521639	588.3661681	229	BNA_TF_H3K27ac	164	1152	975.0151108	1.657156994
chr3	105600457	105600857	303.7848848	1851	BNA_TF_H3K27ac	41	714	36.2334665	0.119273434
chr3	116943430	116943830	397.4212606	365	BNA_TF_H3K27ac	257	1106	407.0769315	1.024295809
chr3	121736173	121736573	398.6781519	192	BNA_TF_H3K27ac	398	1080	736.1022196	1.846357058
chr3	122376818	122377218	653.619693	605	BNA_TF_H3K27ac	20	980	428.2320437	0.655170045
chr3	123258668	123259068	755.3049764	453	BNA_TF_H3K27ac	81	838	663.5429208	0.878509929
chr3	126746382	126746782	539.4975445	115	BNA_TF_H3K27ac	434	1129	1358.580715	2.518233363
chr3	133673128	133673528	1653.993931	340	BNA_TF_H3K27ac	89	874	1820.030462	1.100385212
chr3	135522096	135522496	685.0945542	322	BNA_TF_H3K27ac	91	1020	815.364427	1.19014875
chr3	145705338	145705738	1491.589009	378	BNA_TF_H3K27ac	84	1044	1487.726111	0.997410213
chr3	145897699	145898098	1288.418976	21	BNA_TF_H3K27ac	181	92	5958.295405	4.624501436
chr3	145897730	145898130	1288.842627	20	BNA_TF_H3K27ac	177	725	5960.803832	4.624927597
chr3	145899883	145900282	972.9158952	198	BNA_TF_H3K27ac	201	93	1770.733915	1.820027737
chr3	145899892	145900292	973.030972	199	BNA_TF_H3K27ac	199	948	1770.910664	1.819994137
chr3	145964314	145964714	152.0015964	477	BNA_TF_H3K27ac	72	1656	125.4178134	0.825108528
chr3	145964491	145964891	159.9866973	480	BNA_TF_H3K27ac	82	973	130.9550043	0.818536831
chr3	149508734	149509134	45.36587147	74	BNA_TF_H3K27ac	118	1079	140.9964843	3.107985799
chr3	152133563	152133963	207.2721283	77	BNA_TF_H3K27ac	304	1107	632.7132592	3.052572791
chr3	152304424	152304823	750.9813096	5	BNA_TF_H3K27ac	186	24	5118.958916	6.816359942
chr3	152304454	152304854	751.1819654	4	BNA_TF_H3K27ac	180	809	5121.43509	6.817835526
chr3	20082147	20082547	119.2281817	156	BNA_TF_H3K27ac	130	936	258.4722113	2.167878496
chr3	21349410	21349810	879.2381607	267	BNA_TF_H3K27ac	134	1009	1305.813081	1.485164247
chr3	21564195	21564595	1638.111779	1204	BNA_TF_H3K27ac	73	744	550.3007936	0.335936046
chr3	28371627	28372027	1891.144577	940	BNA_TF_H3K27ac	60	636	796.8543809	0.4213609
chr3	28371641	28372040	1891.144577	941	BNA_TF_H3K27ac	60	964	796.8440732	0.42135545
chr3	28399466	28399866	1210.742159	758	BNA_TF_H3K27ac	39	1021	638.2518803	0.527157558
chr3	33989185	33989585	1258.752124	8	BNA_TF_H3K27ac	198	1203	7867.386933	6.25014789
chr3	41366210	41366610	905.1384398	142	BNA_TF_H3K27ac	64	1151	2073.743066	2.291078331
chr3	58804702	58805102	504.9252645	721	BNA_TF_H3K27ac	101	1076	281.1280201	0.556771546
chr3	63483710	63484110	33.88901135	558	BNA_TF_H3K27ac	98	1252	23.4461617	0.691851452
chr3	65863926	65864326	415.6648263	1040	BNA_TF_H3K27ac	53	985	160.1619556	0.385315152
chr3	68584004	68584404	879.0398179	1247	BNA_TF_H3K27ac	114	875	280.6807126	0.319303753
chr3	79690113	79690513	225.6734097	59	BNA_TF_H3K27ac	246	1049	786.4812592	3.485041771
chr3	79990483	79990883	469.9042214	167	BNA_TF_H3K27ac	210	1144	980.1248436	2.08579706
chr3	85339517	85339917	1462.534849	174	BNA_TF_H3K27ac	275	1070	2931.014244	2.004064551
chr3	85551388	85551788	373.1070116	519	BNA_TF_H3K27ac	104	692	277.038168	0.742516649
chr3	88133270	88133670	2180.065455	343	BNA_TF_H3K27ac	167	850	2386.00655	1.094465556
chr3	97802251	97802650	2981.688373	266	BNA_TF_H3K27ac	110	655	4429.691052	1.485631795
chr3	97802285	97802685	2982.06719	265	BNA_TF_H3K27ac	109	959	4430.746844	1.48579712
chr3	97810331	97810730	1229.856459	271	BNA_TF_H3K27ac	126	657	1778.588865	1.446175976
chr3	97810342	97810742	1229.856459	270	BNA_TF_H3K27ac	126	1226	1778.611742	1.446194577
chr3	99822647	99823047	260.1882196	790	BNA_TF_H3K27ac	45	1231	130.9628852	0.503339027
chr4	100395404	100395804	1141.58744	451	BNA_TF_H3K27ac	233	728	1013.775285	0.888039978
chr4	102383089	102383489	1384.779593	295	BNA_TF_H3K27ac	169	1258	1863.784901	1.345907255
chr4	114386469	114386869	577.6747641	1197	BNA_TF_H3K27ac	70	1131	195.9068374	0.339129991
chr4	123249205	123249605	921.1505147	757	BNA_TF_H3K27ac	166	788	486.3958269	0.528030782
chr4	133701044	133701444	251.0126663	431	BNA_TF_H3K27ac	116	1271	229.9585909	0.916123454
chr4	134299436	134299836	359.8555392	600	BNA_TF_H3K27ac	135	904	237.8223768	0.660882912
chr4	135565296	135565696	2139.928525	1210	BNA_TF_H3K27ac	110	1116	712.4422859	0.332928076
chr4	135658469	135658869	395.105217	143	BNA_TF_H3K27ac	122	1253	903.8762247	2.287684864
chr4	148881105	148881505	146.5286263	1934	BNA_TF_H3K27ac	62	907	9.129167362	0.062302961
chr4	149345866	149346265	676.4164968	1327	BNA_TF_H3K27ac	86	932	199.3514785	0.294717056
chr4	149345874	149346274	676.5020757	1328	BNA_TF_H3K27ac	85	732	199.3582093	0.294689723
chr4	151096878	151097278	209.5031732	346	BNA_TF_H3K27ac	171	695	227.1043199	1.084013748
chr4	154329724	154330124	692.4645193	935	BNA_TF_H3K27ac	91	1209	296.1990277	0.427746144
chr4	154333293	154333693	2373.21752	1580	BNA_TF_H3K27ac	71	842	536.9507165	0.22625432
chr4	45038091	45038491	104.5354116	13	BNA_TF_H3K27ac	374	1086	555.4871559	5.313865872
chr4	46064268	46064668	6847.376519	292	BNA_TF_H3K27ac	66	629	9267.564495	1.35344748
chr4	46064270	46064669	6847.376519	293	BNA_TF_H3K27ac	65	276	9267.564495	1.35344748
chr4	56000656	56001056	240.9720879	227	BNA_TF_H3K27ac	59	841	399.3649794	1.657308043
chr4	59174994	59175394	438.448667	175	BNA_TF_H3K27ac	105	872	872.850124	1.99076925
chr4	59890074	59890474	589.3240864	369	BNA_TF_H3K27ac	121	1039	600.4541012	1.018886068
chr4	59898400	59898800	2107.549283	1722	BNA_TF_H3K27ac	177	806	373.7741259	0.177350124
chr4	6708519	6708919	956.5928743	280	BNA_TF_H3K27ac	237	984	1336.543607	1.397191682
chr4	82132874	82133274	198.7011468	40	BNA_TF_H3K27ac	185	1110	772.5111261	3.887804065
chr4	82696068	82696468	568.032705	64	BNA_TF_H3K27ac	70	1154	1881.369124	3.312078877
chr4	86391193	86391593	685.7011297	321	BNA_TF_H3K27ac	113	1073	831.4777466	1.212594978
chr4	98201062	98201462	528.4826967	255	BNA_TF_H3K27ac	170	1240	811.5789027	1.535677342
chr4	100031235	100031635	139.6748499	10	BNA_TF_H3K27ac	401	764	805.3817118	5.766118326
chr5	105301349	105301749	1167.507787	330	BNA_TF_H3K27ac	55	781	1358.9851	1.16400517
chr5	107062309	107062709	1750.67695	58	BNA_TF_H3K27ac	188	1043	6103.262163	3.486229805
chr5	112886863	112887262	3153.457087	912	BNA_TF_H3K27ac	129	731	1392.357355	0.44153363
chr5	112886897	112887297	3153.616998	911	BNA_TF_H3K27ac	125	1069	1392.599436	0.441588004
chr5	114175609	114176008	1199.310199	1976	BNA_TF_H3K27ac	84	745	5.941427178	0.004954037
chr5	114175725	114176125	1861.269997	1977	BNA_TF_H3K27ac	68	758	9.17251901	0.004928097
chr5	121999030	121999430	1424.615434	518	BNA_TF_H3K27ac	133	887	1058.204712	0.742800257
chr5	124043547	124043947	2043.843547	221	BNA_TF_H3K27ac	137	1126	3462.735861	1.69422746
chr5	124206381	124206781	1513.88052	79	BNA_TF_H3K27ac	189	863	4565.601976	3.015827151
chr5	127468138	127468538	552.6376907	120	BNA_TF_H3K27ac	57	997	1361.847709	2.464268601
chr5	131558262	131558662	797.2904787	190	BNA_TF_H3K27ac	190	659	1476.177721	1.851492976
chr5	131558375	131558774	459.4777299	170	BNA_TF_H3K27ac	235	88	937.3240192	2.03997704
chr5	133010576	133010976	1686.913693	51	BNA_TF_H3K27ac	74	761	6026.106633	3.572267305
chr5	133487860	133488260	397.3531049	572	BNA_TF_H3K27ac	318	866	270.8731435	0.681693789
chr5	140178361	140178761	12.12980245	1899	BNA_TF_H3K27ac	60	1031	1.090842705	0.089930789
chr5	148272054	148272454	234.8055461	92	BNA_TF_H3K27ac	317	1257	666.977849	2.840554067
chr5	21139435	21139835	290.8628792	436	BNA_TF_H3K27ac	136	821	262.1591289	0.901315182
chr5	21329561	21329961	227.9222857	61	BNA_TF_H3K27ac	206	932	784.2397908	3.440821016
chr5	21329618	21330017	257.4603286	47	BNA_TF_H3K27ac	207	1	950.9195831	3.693460613
chr5	24337241	24337641	4630.351631	381	BNA_TF_H3K27ac	172	1245	4604.62863	0.994444698
chr5	32416863	32417262	945.551784	951	BNA_TF_H3K27ac	194	170	395.0804613	0.417830592
chr5	32416867	32417267	945.551784	952	BNA_TF_H3K27ac	191	921	395.0804613	0.417830592
chr5	35009154	35009554	1279.296274	327	BNA_TF_H3K27ac	87	1050	1501.312155	1.17354532
chr5	35921483	35921883	902.6431985	307	BNA_TF_H3K27ac	114	676	1146.278936	1.269913669
chr5	51899576	51899976	1736.033846	297	BNA_TF_H3K27ac	218	1089	2291.490968	1.319957542
chr5	52040412	52040812	1645.822691	609	BNA_TF_H3K27ac	42	822	1074.455497	0.652837941
chr5	72882356	72882756	370.9871279	133	BNA_TF_H3K27ac	247	840	872.2838528	2.351250993
chr5	74147545	74147945	504.1514094	151	BNA_TF_H3K27ac	321	964	1121.674557	2.224876368
chr5	74206046	74206446	551.2563492	367	BNA_TF_H3K27ac	179	908	563.6009248	1.02239353
chr5	74300121	74300521	547.3427436	501	BNA_TF_H3K27ac	201	734	420.5870643	0.768416261
chr5	77130190	77130590	969.6805206	1709	BNA_TF_H3K27ac	124	982	175.2399712	0.180719286
chr5	83384968	83385368	413.0511043	485	BNA_TF_H3K27ac	32	1111	336.1700684	0.813870402
chr5	89844345	89844745	384.1492729	439	BNA_TF_H3K27ac	81	1159	344.9647309	0.897996574
chr5	93136993	93137393	388.7426047	78	BNA_TF_H3K27ac	186	1048	1183.009239	3.043168475
chr6	112401975	112402375	1463.966043	180	BNA_TF_H3K27ac	222	1096	2854.488061	1.949832153
chr6	115959176	115959576	2258.865309	891	BNA_TF_H3K27ac	128	1040	1018.284399	0.450794651
chr6	119139528	119139928	612.2718638	294	BNA_TF_H3K27ac	230	1138	824.9827706	1.347412513
chr6	120150123	120150523	4688.570429	624	BNA_TF_H3K27ac	65	1224	3011.587051	0.642325224
chr6	122826246	122826646	124.298898	1911	BNA_TF_H3K27ac	77	1055	10.12656216	0.081469444
chr6	127991500	127991900	1928.336289	981	BNA_TF_H3K27ac	108	701	786.3899674	0.407807483
chr6	128034567	128034967	178.6342282	1941	BNA_TF_H3K27ac	30	890	9.846529117	0.055121178
chr6	142485704	142486104	220.0709598	50	BNA_TF_H3K27ac	73	697	798.8229457	3.629842604
chr6	147138248	147138648	19.83179477	351	BNA_TF_H3K27ac	65	892	21.2603583	1.072034001
chr6	21111404	21111804	69.1959585	883	BNA_TF_H3K27ac	101	1282	31.35439899	0.453124715
chr6	36405033	36405433	215.142052	127	BNA_TF_H3K27ac	404	869	512.3082229	2.381255632
chr6	36405104	36405503	213.7741185	178	BNA_TF_H3K27ac	386	212	422.404617	1.975938996
chr6	50358057	50358457	693.2018524	740	BNA_TF_H3K27ac	231	931	373.8942525	0.539372841
chr6	50366763	50367163	2214.610424	726	BNA_TF_H3K27ac	140	1236	1226.600084	0.553867204
chr6	6299152	6299552	590.9512135	529	BNA_TF_H3K27ac	116	1288	431.4558133	0.730103947
chr6	6361184	6361584	713.1621635	323	BNA_TF_H3K27ac	4	929	847.7565914	1.188729064
chr6	6361246	6361645	426.9507219	326	BNA_TF_H3K27ac	4	401	501.4357946	1.174458243
chr6	72277403	72277803	1200.797549	645	BNA_TF_H3K27ac	144	1177	746.1501149	0.621378779
chr6	84243385	84243785	2438.256774	84	BNA_TF_H3K27ac	253	852	7117.769552	2.919204256
chr6	88776548	88776948	1248.751064	852	BNA_TF_H3K27ac	69	933	583.0507067	0.466907075
chr6	89556554	89556954	2503.596972	486	BNA_TF_H3K27ac	61	746	2025.57402	0.809065534
chr6	91785000	91785400	1813.79498	24	BNA_TF_H3K27ac	275	922	7964.525923	4.391083894
chr6	91785024	91785423	1813.79498	25	BNA_TF_H3K27ac	269	68	7964.523867	4.39108276
chr6	92869077	92869477	5.766713169	216	BNA_TF_H3K27ac	167	849	9.8302091	1.704646791
chr6	94215136	94215536	361.4891599	545	BNA_TF_H3K27ac	246	626	255.1349031	0.705788531
chr6	97918031	97918431	498.1388447	269	BNA_TF_H3K27ac	206	1023	723.032489	1.451467792
chr7	98752695	98753095	139.1884919	182	BNA_TF_H3K27ac	86	1084	267.9996425	1.925443972
chr7	111692743	111693143	413.4439275	172	BNA_TF_H3K27ac	183	623	841.7411894	2.035925874
chr7	111798890	111799290	701.4695314	845	BNA_TF_H3K27ac	98	789	329.6342081	0.469919495
chr7	112270856	112271256	2003.622301	1950	BNA_TF_H3K27ac	156	1165	84.51810101	0.042182651
chr7	112756394	112756794	790.0857529	1162	BNA_TF_H3K27ac	31	1046	275.0187428	0.348087207
chr7	115466771	115467171	396.7428554	6	BNA_TF_H3K27ac	208	649	2499.707248	6.300572811
chr7	121044251	121044651	702.7510726	97	BNA_TF_H3K27ac	49	660	1922.213176	2.735268932
chr7	121840777	121841177	4484.766403	287	BNA_TF_H3K27ac	83	1198	6112.781233	1.36300995
chr7	122045131	122045531	1179.828027	45	BNA_TF_H3K27ac	318	1029	4491.742824	3.807116562
chr7	132674022	132674422	2004.158887	203	BNA_TF_H3K27ac	177	1068	3577.623467	1.785099719
chr7	143124246	143124646	1285.25863	822	BNA_TF_H3K27ac	114	955	621.8850125	0.483859822
chr7	143139926	143140326	2682.791367	734	BNA_TF_H3K27ac	90	901	1461.6676	0.544830887
chr7	144545270	144545670	846.7333563	610	BNA_TF_H3K27ac	237	1291	552.7715716	0.652828387
chr7	19170134	19170534	713.1367112	72	BNA_TF_H3K27ac	65	691	2246.807023	3.150597897
chr7	30203086	30203486	68.81671188	1072	BNA_TF_H3K27ac	102	1016	25.82279404	0.375240161
chr7	49088253	49088653	433.457655	669	BNA_TF_H3K27ac	75	1220	258.2137188	0.595706907
chr7	49176883	49177283	1368.059726	332	BNA_TF_H3K27ac	84	735	1572.361517	1.149336894
chr7	54917940	54918340	474.8932286	427	BNA_TF_H3K27ac	32	1210	438.0566154	0.922431799
chr7	67421612	67422012	232.247742	18	BNA_TF_H3K27ac	188	851	1108.016627	4.770839178
chr7	67421633	67422032	232.3333209	19	BNA_TF_H3K27ac	186	437	1108.19138	4.769834028
chr7	68010260	68010660	303.6778537	260	BNA_TF_H3K27ac	201	886	462.324387	1.522417197
chr7	74421904	74422304	137.4103464	482	BNA_TF_H3K27ac	91	707	112.269125	0.817035456
chr7	80119227	80119627	673.6840727	258	BNA_TF_H3K27ac	139	894	1030.378083	1.529467779
chr7	80119236	80119635	673.6840727	257	BNA_TF_H3K27ac	139	550	1030.388459	1.529483183
chr7	84128648	84129048	1943.854552	692	BNA_TF_H3K27ac	167	884	1125.170214	0.57883457
chr8	104607897	104608297	848.4450634	1021	BNA_TF_H3K27ac	156	646	335.0516792	0.394900853
chr8	107386008	107386408	501.450299	1390	BNA_TF_H3K27ac	270	967	139.1678093	0.277530614
chr8	11183527	11183927	1124.610037	165	BNA_TF_H3K27ac	577	677	2382.991149	2.118948854
chr8	11331648	11332047	864.5132869	290	BNA_TF_H3K27ac	195	53	1172.289479	1.356010945
chr8	11331649	11332049	864.5132869	289	BNA_TF_H3K27ac	195	630	1172.300533	1.356023731
chr8	110941470	110941870	5675.844697	821	BNA_TF_H3K27ac	110	1278	2747.597961	0.484086177
chr8	11705796	11706196	278.9755459	701	BNA_TF_H3K27ac	263	812	160.3915079	0.574930349
chr8	114972908	114973308	208.6249092	122	BNA_TF_H3K27ac	31	675	501.1463449	2.402140506
chr8	118378888	118379288	194.6285302	214	BNA_TF_H3K27ac	103	1178	335.336708	1.722957614
chr8	122234033	122234433	393.8241103	1159	BNA_TF_H3K27ac	237	945	137.7597462	0.349800184
chr8	123872128	123872528	75.30823385	619	BNA_TF_H3K27ac	40	680	48.70712787	0.646770285
chr8	125368267	125368667	588.2453569	200	BNA_TF_H3K27ac	182	753	1057.556731	1.797815688
chr8	126547734	126548134	462.0191202	291	BNA_TF_H3K27ac	216	656	626.2976161	1.355566445
chr8	31117255	31117655	1202.767367	736	BNA_TF_H3K27ac	51	926	652.9992487	0.542914005
chr8	32044291	32044691	94.54772311	150	BNA_TF_H3K27ac	90	934	211.7234343	2.239328747
chr8	34074984	34075384	923.4524588	696	BNA_TF_H3K27ac	225	637	532.7888826	0.576953234
chr8	34995817	34996217	250.6803263	382	BNA_TF_H3K27ac	296	731	248.7107034	0.99214289
chr8	35704809	35705209	196.4180516	263	BNA_TF_H3K27ac	238	1059	296.5370287	1.509723909
chr8	36290905	36291305	668.1152734	793	BNA_TF_H3K27ac	60	1125	335.0172684	0.501436327
chr8	40964333	40964733	346.5175098	99	BNA_TF_H3K27ac	204	961	927.6601924	2.67709471
chr8	46216859	46217259	18.76865822	642	BNA_TF_H3K27ac	256	1201	11.73363912	0.625171975
chr8	46216874	46217273	18.69432666	640	BNA_TF_H3K27ac	257	284	11.71137569	0.626466837
chr8	46413125	46413525	22.35120274	584	BNA_TF_H3K27ac	60	797	15.05885535	0.673738032
chr8	57134725	57135125	72.7644789	324	BNA_TF_H3K27ac	186	688	86.24957849	1.18532531
chr8	57400970	57401370	266.8499205	704	BNA_TF_H3K27ac	130	999	152.9158272	0.573040558
chr8	68865934	68866334	833.1009691	1290	BNA_TF_H3K27ac	4	1095	257.6647174	0.309283901
chr8	68866010	68866409	510.6602846	1266	BNA_TF_H3K27ac	4	387	161.5034674	0.316264006
chr8	68866034	68866433	510.6602846	1265	BNA_TF_H3K27ac	4	440	161.5138319	0.316284303
chr8	68987886	68988285	3893.864658	422	BNA_TF_H3K27ac	261	46	3643.05742	0.935589123
chr8	68987902	68988302	3893.864658	421	BNA_TF_H3K27ac	259	897	3643.102981	0.935600823
chr8	72499511	72499911	729.2330887	991	BNA_TF_H3K27ac	95	1041	294.9092729	0.404410164
chr8	77444142	77444542	972.3390502	123	BNA_TF_H3K27ac	150	920	2325.98345	2.392152665
chr8	77988375	77988775	384.4467772	719	BNA_TF_H3K27ac	403	1123	215.2660754	0.559937261
chr8	78024869	78025269	845.2418868	186	BNA_TF_H3K27ac	315	976	1612.01421	1.907163187
chr8	85429217	85429617	218.4250864	309	BNA_TF_H3K27ac	55	1101	276.052466	1.263831323
chr8	90013762	90014162	372.4313428	12	BNA_TF_H3K27ac	219	724	2021.464104	5.427749686
chr8	93217348	93217748	709.9775976	305	BNA_TF_H3K27ac	209	1186	904.2455148	1.273625418
chr9	101326894	101327294	448.2232589	240	BNA_TF_H3K27ac	110	1037	716.9659588	1.599573303
chr9	103601862	103602262	169.3584497	875	BNA_TF_H3K27ac	53	939	76.98946997	0.454594796
chr9	105028247	105028646	1024.46394	867	BNA_TF_H3K27ac	7	20	468.0975008	0.456919451
chr9	105028297	105028697	1047.369985	868	BNA_TF_H3K27ac	7	665	478.5000424	0.456858655
chr9	118693253	118693653	1856.798833	379	BNA_TF_H3K27ac	183	975	1851.531931	0.99716345
chr9	118741210	118741610	1832.046255	892	BNA_TF_H3K27ac	458	700	825.777123	0.450740324
chr9	119474300	119474700	462.7805127	1358	BNA_TF_H3K27ac	62	627	132.085938	0.285418107
chr9	119479296	119479696	2275.386528	363	BNA_TF_H3K27ac	274	1294	2349.429456	1.032540813
chr9	121322024	121322423	6985.972015	149	BNA_TF_H3K27ac	135	788	15692.28795	2.246256916
chr9	121322040	121322440	6986.057594	148	BNA_TF_H3K27ac	132	795	15692.61747	2.246276567
chr9	121329170	121329569	473.7011447	104	BNA_TF_H3K27ac	235	789	1231.062516	2.598816848
chr9	121329180	121329580	473.7011447	103	BNA_TF_H3K27ac	233	793	1231.067784	2.59882797
chr9	121345455	121345855	743.5584158	639	BNA_TF_H3K27ac	263	953	466.5132455	0.627406315
chr9	121345508	121345907	704.6945345	635	BNA_TF_H3K27ac	270	790	445.214179	0.631783216
chr9	122187554	122187954	1517.69623	222	BNA_TF_H3K27ac	73	900	2562.863812	1.688654002
chr9	123467077	123467477	259.2026871	1308	BNA_TF_H3K27ac	121	780	78.24233174	0.301857718
chr9	24974075	24974475	3952.888195	1880	BNA_TF_H3K27ac	344	888	425.6161249	0.107672189
chr9	29288298	29288698	1131.349945	319	BNA_TF_H3K27ac	57	895	1382.21419	1.221738858
chr9	43021527	43021927	286.835363	159	BNA_TF_H3K27ac	87	1002	616.6975334	2.15000524
chr9	44474342	44474742	1076.8955	1686	BNA_TF_H3K27ac	25	1147	205.453427	0.190783068
chr9	48707422	48707822	162.691234	1236	BNA_TF_H3K27ac	454	668	52.8452578	0.324819331
chr9	52965652	52966052	645.3682927	136	BNA_TF_H3K27ac	91	782	1506.504409	2.334332855
chr9	59515058	59515458	72.27852341	82	BNA_TF_H3K27ac	72	1167	214.086105	2.961960135
chr9	63877782	63878182	195.6399186	1506	BNA_TF_H3K27ac	330	1200	48.28970212	0.246829494
chr9	67163801	67164201	1966.309549	242	BNA_TF_H3K27ac	336	1112	3123.444881	1.588480757
chr9	67581852	67582252	628.1870944	70	BNA_TF_H3K27ac	196	798	1994.92938	3.175693035
chr9	69125414	69125814	12.02612879	1591	BNA_TF_H3K27ac	47	966	2.670223021	0.222035126
chr9	71070555	71070955	212.7928292	96	BNA_TF_H3K27ac	93	1264	583.2031366	2.740708598
chr9	77438725	77439125	46.33014642	113	BNA_TF_H3K27ac	98	1287	117.1545763	2.528689964
chr9	85324363	85324763	635.110881	596	BNA_TF_H3K27ac	84	911	422.3340831	0.664976929
chr9	85380741	85381141	800.4493823	1297	BNA_TF_H3K27ac	227	1090	245.0081925	0.306088302
chr9	88276057	88276457	80.80246248	277	BNA_TF_H3K27ac	103	1062	113.9467443	1.410189007
chr9	95665826	95666226	787.0990334	641	BNA_TF_H3K27ac	134	651	492.8981959	0.62622132
chr9	96879115	96879515	783.35344	220	BNA_TF_H3K27ac	147	1160	1328.305034	1.695665029
chr10	111936656	111937056	164.5720637	302	BNA_TF	166	532	210.9773815	1.28197567
chr10	117042245	117042645	400.811147	185	BNA_TF	325	518	765.5355495	1.909965717
chr10	118799710	118800110	186.0004123	29	BNA_TF_H3K27ac	502	499	778.9804003	4.188057385
chr10	119065507	119065907	23.05015219	232	BNA_TF	273	520	37.76573193	1.63841573
chr10	119081754	119082154	231.1896405	194	BNA_TF	105	527	422.3943402	1.827047004
chr10	25539638	25540038	168.7712325	1018	BNA_TF	160	589	66.74737823	0.395490258
chr10	40327979	40328379	49.66884252	188	BNA_TF	143	616	93.37112041	1.879873089
chr10	3337543	3337943	633.5207193	202	BNA_TF	213	604	1132.846414	1.788175792
chr10	3337504	3337903	632.0926164	201	BNA_H3K27ac	213	3	1131.322872	1.789805549
chr10	76416842	76417242	124.8754735	391	BNA_TF	118	508	121.7293634	0.974806021
chr11	102432780	102433180	410.0107686	1194	BNA_TF	90	614	139.1515108	0.339385015
chr11	109629083	109629483	255.5528037	355	BNA_TF	252	595	271.109464	1.060874543
chr1	133237044	133237444	19.57331662	1756	BNA_TF	140	522	3.215955507	0.164303044
chr1	153922677	153923077	32.95959654	795	BNA_TF	193	517	16.4704332	0.499715862
chr1	164896184	164896584	27.91229225	1660	BNA_TF	112	504	5.580394875	0.199926069
chr11	77423496	77423896	1439.338927	1	BNA_TF	184	613	12962.63603	9.005965021
chr11	77423506	77423905	1439.338927	2	BNA_H3K27ac	186	14	12962.61091	9.00594757
chr1	184675686	184676086	371.2070379	373	BNA_TF	234	501	375.1503753	1.010623014
chr1	193316090	193316490	95.71191016	523	BNA_TF	184	562	70.69086819	0.73857964
chr12	33314076	33314476	226.2497644	1075	BNA_TF	58	535	84.64466098	0.374120438
chr12	73779735	73780135	574.7252726	923	BNA_TF	155	564	250.7855018	0.436357184
chr13	102905983	102906383	220.7002916	248	BNA_TF	112	597	344.3617814	1.560314121
chr13	46426783	46427182	670.147299	204	BNA_TF	559	292	1186.051763	1.769837415
chr13	46426783	46427183	670.147299	205	BNA_TF	561	592	1186.051763	1.769837415
